 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
MobiSPC-2018,The 15th International Conference on Mobile Systems and Pervasive Computing,https://easychair.org/cfp/MobiSPC2018,"Gran Canaria, Spain",22-Mar-18,13-Aug-18,"['mobile', 'pervasive computing', 'internet of things', 'emerging technologies']",Computing
IEEE COLCOM 2018,11th IEEE Colombian Conference on Communications and Computing,https://easychair.org/cfp/ieee-colcom2018,"Medellín, Colombia",30-Jan-18,16-May-18,"['cybersecurity', 'big data', 'wireles communications', 'computer and software engineering']",Computing
ICTAC 2018,15th International Colloquium on Theoretical Aspects of Computing,https://easychair.org/cfp/ictac2018,"Stellenbosch, South Africa",11-May-18,16-Oct-18,"['logic', 'semantics', 'programming languages', 'theoretical computer science']",Computing
IWLS 2018,International Workshop on Logic & Synthesis,https://easychair.org/cfp/iwls2018,"San Francisco, CA, United States",11-Mar-18,23-Jun-18,"['synthesis', 'verification', 'reconfigurable computing', 'electronic design automation']",Computing
CogArch 2018,3rd Workshop on Cognitive Architectures,https://easychair.org/cfp/CogArch2018,"Williamsburg, VA, United States",5-Feb-18,24-Mar-18,"['cognitive computing', 'computer architecture', 'machine learning']",Computing
iSchool8thAnnualResearchDayUBC,iSchool’s 8th Annual Research Day,https://easychair.org/cfp/iSchool8thAnnualResearchDayUBC,"Vancouver, Canada",3-Feb-18,9-Mar-18,[],Computing
ICACC 2018,8th International Conference on Advances in Computing & Communications,https://easychair.org/cfp/ICACC-2018,"Kochi, India",15-Apr-18,13-Sep-18,"['smart communication', 'machine learning', 'intelligent electrical systems']",Computing
ADG2018,12th International Conference on Automated Deduction in Geometry,https://easychair.org/cfp/adg2018,"Nanning, China",25-May-18,11-Sep-18,"['polynomial algebra', 'algebraic methods for geometric computation', 'geometry software', 'applications to computer science']",Computing
DMG2,Workshop on Data Mining for Geophysics and Geology,https://easychair.org/cfp/DMG2,"San Diego, CA, United States",15-Feb-18,,[],Computing
DACH+ Energieinformatik 2018,The 7th D-A-CH Energy Informatics Conference,https://easychair.org/cfp/DACH-Energieinformatik-2018,"Oldenburg, Germany",25-May-18,11-Oct-18,"['smart grids', 'energy efficiency', 'energy data analytics', 'renewable energies']",Computing
MoreVMs'18,"Workshop on Modern Language Runtimes, Ecosystems, and VMs 2018",https://easychair.org/cfp/morevms18,"Nice, France",26-Jan-18,9-Apr-18,[],Computing
FAiSE'18,Workshop on Flexible Advanced Information Systems,https://easychair.org/cfp/FAiSE18,"Tallin, Estonia",4-Mar-18,11-Jun-18,"['flexible', 'information systems', 'internet of things', 'business process management']",Computing
itsrcp18,"3rd Conference on Information Technology, Systems Research and Computational Physics",https://easychair.org/cfp/itsrcp18,"Krakow, Poland",,2-Jul-18,"['computer science', 'physics']",Computing
NNC2018,NoNameCon 2018,https://easychair.org/cfp/NNC2018,"Kyiv, Ukraine",28-Feb-18,17-May-18,"['cyber security defense', 'cyber security assessment', 'cyber security of critical infrastructure', 'cyber security of ukraine']",Computing
ndss2018posters,NDSS 2018 Posters,https://easychair.org/cfp/ndss2018posters,"San Diego, CA, United States",22-Jan-18,18-Feb-18,[],Computing
SoCS 2018,The International Symposium on Combinatorial Search,https://easychair.org/cfp/SoCS-2018,"Stockholm, Sweden",1-May-18,14-Jul-18,"['search', 'planning', 'robotics', 'artificial intelligence']",Computing
SDSC 2018,3rd International Conference on Smart Data and Smart Cities 2018,https://easychair.org/cfp/SDSC-2018,"Delft, Netherlands",31-Mar-18,4-Oct-18,"['smart cities', 'sensor networks', 'urban information modelling']",Computing
SLICE-2018,"International Workshop on Smart Living with IoT, Cloud and Edge Computing",https://easychair.org/cfp/slice2018,"Barcelona, Spain",31-Jan-18,23-Apr-18,"['internet of things', 'cloud computing', 'edge computing', 'big data analytics']",Computing
VaVAS-2018,International Workshop on the  Verification and Validation of Autonomous Systems,https://easychair.org/cfp/VaVAS-2018,"Oxford, UK",16-Apr-18,18-Jul-18,"['autonomous systems', 'verification', 'validation']",Computing
VLSI-SOC 2018,26th IFIP/IEEE International Conference on Very Large Scale Integration,https://easychair.org/cfp/vlsi-soc2018,"Verona, Italy",27-Apr-18,8-Oct-18,"['system on chip', 'hardware security', 'prototyping verification modeling and simulation', 'iot embedded and cyberphysical systems']",Computing
EOMAS 2018,14th International Workshop on Enterprise & Organizational Modeling and Simulation,https://easychair.org/cfp/EOMAS2018,"Tallinn, Estonia",11-Mar-18,11-Jun-18,"['enterprise engineering', 'simulation', 'modeling', 'business and management']",Computing
IDIMT2018,Interdisciplinary Information Management Talks,https://easychair.org/cfp/IDIMT-2018,"Kutná Hora, Czech Republic",13-Apr-18,5-Sep-18,"['digital economy and industry 4.0', 'social media / cyber security', 'crisis management / ehealth', 'smart systems / innovations']",Computing
PerCAA-2019,International Conference and Workshops on Pervasive Computing Advances and Applications,https://easychair.org/cfp/PerCAA-2019,"Jaipur, India",31-Jul-18,8-Jan-19,[],Computing
BCC18,"Second ACM Workshop on  Blockchains, Cryptocurrencies and Contracts",https://easychair.org/cfp/BCC18,"Incheon, South Korea",15-Jan-18,4-Jun-18,"['security and privacy', 'blockchains', 'smart contracts', 'cryptology']",Computing
ICGICCS2018,"3rd International Conference on Green,Intelligent Computing and Communication Systems",https://easychair.org/cfp/ICGICCS-2018,"Coimbatore, India",,11-May-18,"['sustainable computing', 'green data storage and processing', 'networks for green smart grid', 'image and video processing']",Computing
ICSSSIS2018,"2nd International Conference on Security, Sensors, Software and Intelligent Systems",https://easychair.org/cfp/ICSSSIS2018,"Cairo, Egypt",,1-Jun-18,"['cot business models', 'cot and education', 'cot in healthcare', 'sensor and actuator technologies']",Computing
MILS-18,4th International Workshop on Mils: Architecture and Assurance for Secure Systems,https://easychair.org/cfp/mils18,"Luxembourg, Luxembourg",19-Apr-18,25-Jun-18,"['computer science', 'security', 'software engineering', 'security certification']",Computing
Overture 16,16th Overture Workshop - New Capabilities and Applications for Model-based System Engineering,https://easychair.org/cfp/overture-16,"Oxford, UK",15-Apr-18,,"['cyber physical systems', 'model based systems engineering', 'overture', 'vdm']",Computing
ICDT 2019,22nd International Conference on Database Theory,https://easychair.org/cfp/ICDT2019,"Lisbon, Portugal",3-Apr-18,26-Mar-19,"['data management', 'database theory']",Computing
TPDL2018,22nd International Conference on Theory and Practice of Digital Libraries,https://easychair.org/cfp/TPDL2018,"PORTO, Portugal",8-Apr-18,10-Sep-18,"['information retrieval', 'digital humanities', 'research data management', 'digital preservation']",Computing
EduPar-18,8th NSF/TCPP Workshop on Parallel and Distributed Computing Education (EduPar-18),https://easychair.org/cfp/EduPar18,"Vancouver, Canada",26-Jan-18,21-May-18,[],Computing
PRDC 2018,The 23rd IEEE Pacific Rim International Symposium on Dependable Computing,https://easychair.org/cfp/PRDC2018,"Taipei, Taiwan",1-Jun-18,4-Dec-18,"['dependability', 'security', 'fault tolerance', 'reliability']",Computing
Web Studies 2,Second International Congress on Web Studies,https://easychair.org/cfp/webstudies2,"Paris, France",15-Apr-18,3-Oct-18,"['digital humanities', 'web design', 'web development', 'data visualization']",Computing
KI2018,41th German Conference on Artificial Intelligence,https://easychair.org/cfp/ki2018,"Berlin, Germany",7-May-18,24-Sep-18,"['robotics', 'artificial intelligence', 'agents', 'machine learning']",Computing
IFIP IoT 2018,IFIP Internet of Things 2018,https://easychair.org/cfp/IFIP_IoT_2018,"Poznan, Poland",15-Mar-18,18-Sep-18,"['iot technical issues and challenges', 'iot legal and ethical issues', 'iot impact on society', 'iot risks and security']",Computing
OD/SM1/2018,OWASP Dnipro - Security meetup #1,https://easychair.org/cfp/od_sm1_2018,"Dnipro, Ukraine",15-Feb-18,22-Feb-18,"['software security', 'computer security', 'software engineering', 'web application security']",Computing
ADCOM 2018,24th Annual International Conference on Advanced Computing and Communications,https://easychair.org/cfp/adcom2018,"Electronics City, Bangalore, India",30-Apr-18,21-Sep-18,[],Computing
OK/Q1/2018,OWASP Kyiv Spring 2018,https://easychair.org/cfp/OK-Q1-2018,"Kyiv, Ukraine",28-Feb-18,3-Mar-18,"['web application security', 'software security', 'mobile security', 'security engineering']",Computing
ESEM2018,International Symposium on Empirical Software Engineering and Measurement 2018,https://easychair.org/cfp/esem2018,"Oulu, Finland",25-May-18,11-Oct-18,"['empirical studies', 'methodologies']",Computing
ICDSIAI'2018,International Conference on Data Science and Intelligent Analysis of Information'2018,https://easychair.org/cfp/icdsiai2018,"Kiev, Ukraine",1-Apr-18,4-Jun-18,"['data science', 'big data in economics', 'soft computing', 'knowledge engineering']",Computing
IWOPH'18,International Workshop on OpenPOWER for HPC 2018,https://easychair.org/cfp/IWOPH18,"Frankfurt, Germany",8-Apr-18,28-Jun-18,[],Computing
