 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
well-being-games2018,"Workshop on Well-Being Multimedia, Entertainment Computing and Games 2018",https://easychair.org/cfp/well-being-games2018,"Xian, China",25-Feb-18,28-Jun-18,"['artificial intelligence', 'entertainment design', 'virtual reality and augmented reality', 'platforms and field studies']",Technology
ICSIP 2018,2018 3rd International Conference on Signal and Image Processing,https://easychair.org/cfp/ICSIP2018,"Shenzhen, China",20-Feb-18,13-Jul-18,"['networking', 'communications', 'multimedia', 'signal processing']",Technology
AISW1,Standards for Adaptive Instruction Systems (AIS) Workshop,https://easychair.org/cfp/AISW1,"Orlando, FL, United States",2-Feb-18,7-Mar-18,"['domain modeling', 'learner']",Technology
AIS 2018,Africa Innovation Summit,https://easychair.org/cfp/AIS2018,"Kigali, Rwanda",15-May-18,6-Jun-18,"['africa', 'enterprise', 'development', 'innovation system']",Technology
CEPRA XII - 2018,Concurso Ecuatoriano de Proyectos en I+D+i - 2018,https://easychair.org/cfp/CEPRA_XII_2018,"Cuenca, Ecuador",30-Mar-18,,"[u'educaci\xf3n', 'humanidades y artes', 'ciencias sociales derecho', u'ingenier\xeda industria y construcci\xf3n']",Technology
ICCSS 2018,"2018 2nd International Conference on Circuits, System and Simulation",https://easychair.org/cfp/ICCSS2018,"Guangzhou, China",,14-Jul-18,"['system', 'simulation', 'modeling', 'circuits']",Technology
ICWOC 2018,2018 6th International Conference on Wireless and Optical Communications,https://easychair.org/cfp/ICWOC2018,"Chengdu, China",25-Feb-18,6-Jul-18,"['wireless', 'communications', 'networks', 'optical communications']",Technology
CNMR02,2° Congreso Nacional de Mecatronica y Robotica,https://easychair.org/cfp/CNMR02,"Querétaro, Qro., Mexico",14-Apr-18,17-May-18,"[u'mecatr\xd3nica y/o rob\xd3tica', u'modelaci\xd3n y/o simulaci\xd3n de sistemas', u'desarrollo y/o aplicaci\xd3n de sensores', u'productos y/o sistemas mecatr\xd3nicos']",Technology
ICARSC 2018,18th IEEE International Conference on Autonomous Robot Systems and Competitions,https://easychair.org/cfp/ICARSC2018,"Torres Vedras, Portugal",4-Feb-18,25-Apr-18,"['robotics', 'artificial intelligence', 'robotics competitions and challenges', 'autonomous systems']",Technology
HiPINEB 2018,The 4th IEEE International Workshop on High-Performance Interconnection Networks in the Exascale and Big-Data Era,https://easychair.org/cfp/HiPINEB2018,"Vienna, Austria",8-Jan-18,24-Feb-18,"['interconnect architectures and network technologies', 'scalable network topologies', 'power saving in the interconnect', 'network communication protocols']",Technology
SRC '18,"Students' Research Convention, 2018",https://easychair.org/cfp/SRC-18,"Kanpur, India",10-Feb-18,9-Mar-18,"['science', 'technology', 'social science', 'management']",Technology
